# FarmAssist crop database
# Format: name | season | soil | waterNeed | N | P | K | commonDiseases | description | duration | temperature | rainfall | spacing | varieties | yield
# N P K are the recommended nutrient doses in kilograms per hectare.
# duration = days from sowing to harvest, temperature = optimum range in Celsius,
# rainfall = suitable annual range in mm, spacing = planting geometry in cm,
# varieties = common recommended cultivars, yield = typical range per hectare.
rice|Kharif|Clayey loam|High|120|60|40|blast,bacterial leaf blight,brown spot,sheath blight|Rice is the main staple cereal of India grown in flooded fields called paddy. Seedlings are raised in a nursery and transplanted after twenty five days at a spacing of twenty by fifteen centimetres.|110-145 days|20-35 C|1000-1500 mm|20x15 cm|IR-64,BPT-5204,Samba Masuri,Swarna|45-60 q/ha
wheat|Rabi|Loamy|Medium|120|60|40|rust,powdery mildew,karnal bunt,loose smut|Wheat is the main rabi cereal sown from November to December and harvested in March. The crown root irrigation given twenty one days after sowing is the most critical irrigation of the season.|110-130 days|15-25 C|500-750 mm|20x10 cm|HD-3086,HD-2967,GW-322,PBW-343|40-55 q/ha
maize|Kharif|Well drained loam|Medium|150|75|40|downy mildew,leaf blight,stem borer damage|Maize is a versatile cereal used for food fodder poultry feed and the starch industry. It cannot tolerate water logging so ridge and furrow planting is recommended in heavy rainfall areas.|90-110 days|21-30 C|500-800 mm|60x20 cm|PEHM-2,DHM-117,Pusa Early Hybrid|35-60 q/ha
barley|Rabi|Sandy loam|Low|60|30|20|loose smut,powdery mildew,stripe disease|Barley is a hardy rabi cereal that tolerates salinity and drought better than wheat. It is used for malt production animal feed and in rainfed areas with poor irrigation.|110-130 days|12-20 C|400-600 mm|22.5 cm rows|BH-902,BH-393,RD-2552|25-35 q/ha
sorghum|Kharif|Black soil|Low|80|40|40|grain mould,downy mildew,anthracnose|Sorghum known as jowar is a drought hardy millet grown for grain and fodder in dry regions. Its deep root system lets it survive long dry spells that would kill maize.|90-120 days|25-32 C|300-600 mm|45x15 cm|CSV-17,CSV-23,SPV-462|15-25 q/ha
pearl millet|Kharif|Sandy soil|Low|60|30|30|downy mildew,ergot,rust|Pearl millet known as bajra is the most drought tolerant cereal of India grown in the driest sandy tracts. It matures in seventy five to ninety days and gives both grain and dry fodder.|75-90 days|25-32 C|250-450 mm|45x12 cm|HHB-67 Improved,GHB-558,H-77|12-20 q/ha
finger millet|Kharif|Red loam|Low|50|40|25|blast,leaf spot|Finger millet known as ragi is a highly nutritious millet rich in calcium and iron. The grain stores for many years without insect damage which makes it a famine reserve crop.|90-110 days|20-28 C|600-900 mm|22.5x10 cm|MR-1,GPU-28,PR-202|15-25 q/ha
chickpea|Rabi|Black soil|Low|20|60|20|wilt,ascochyta blight,collar rot|Chickpea known as gram is the largest pulse crop of India and fixes its own nitrogen through root nodules. It grows on residual soil moisture and needs very little irrigation.|95-120 days|18-25 C|400-600 mm|30x10 cm|JG-315,Desi,PG-186,KK-42|12-18 q/ha
pigeonpea|Kharif|Well drained loam|Low|25|50|25|wilt,sterility mosaic,phytophthora blight|Pigeonpea known as tur or arhar is a long duration pulse that occupies the field for six to nine months. Its deep tap root improves the soil and it is often intercropped with sorghum or cotton.|150-270 days|22-30 C|600-1000 mm|75x20 cm|ICPL-87 Maruti,Asha,UPAS-120|10-15 q/ha
green gram|Kharif|Sandy loam|Low|20|40|20|yellow mosaic,powdery mildew,cercospora leaf spot|Green gram known as moong is a short duration pulse that matures in sixty to seventy days. It fits well as a catch crop between two main season crops and enriches the soil with nitrogen.|60-70 days|25-32 C|400-700 mm|30x10 cm|SML-668,PDM-11,IPM-02-3|7-10 q/ha
black gram|Kharif|Clay loam|Low|20|40|20|yellow mosaic,leaf crinkle,powdery mildew|Black gram known as urad is a protein rich pulse grown in both kharif and summer seasons. It tolerates heavier soils than green gram and is widely used for making idli and dal.|70-90 days|25-32 C|500-700 mm|30x10 cm|LBG-20,T-9,PU-31|8-12 q/ha
lentil|Rabi|Loamy|Low|20|40|20|wilt,rust,collar rot|Lentil known as masoor is a cool season pulse sown after the kharif harvest on residual moisture. It is one of the oldest cultivated pulses and needs only one or two light irrigations.|110-130 days|15-22 C|400-600 mm|25x5 cm|PL-4,KLB-303,DPL-62|10-14 q/ha
cowpea|Kharif|Sandy loam|Low|20|40|20|yellow mosaic,anthracnose,bacterial blight|Cowpea is a dual purpose legume grown for green pods grain and as a green manure crop. It covers the ground quickly and suppresses weeds while fixing nitrogen in the soil.|60-90 days|22-32 C|400-700 mm|30x10 cm|V-240,K-11,CPD-2|8-12 q/ha
groundnut|Kharif|Sandy loam|Low|25|50|75|tikka leaf spot,collar rot,rust|Groundnut is an oilseed legume that fixes its own nitrogen and forms pods below the soil surface. Gypsum applied at the pegging stage supplies calcium and greatly improves pod filling.|100-135 days|24-30 C|500-700 mm|30x10 cm|JL-24,Kadiri-6,TAG-24|18-25 q/ha
soybean|Kharif|Black soil|Medium|30|75|40|rust,yellow mosaic,bacterial pustule|Soybean is a protein rich oilseed legume sown with the onset of the monsoon. Seed treatment with rhizobium culture improves nodulation and drainage channels prevent yellowing in heavy rain.|90-110 days|22-30 C|600-900 mm|45x5 cm|JS-335,JS-9305,MACS-1188|18-25 q/ha
mustard|Rabi|Loamy|Low|80|40|40|white rust,alternaria blight,downy mildew|Mustard is a rabi oilseed that grows well in cool dry weather with limited irrigation. Sulphur fertilisation increases the oil content of the seed and aphid attack at flowering is the main pest problem.|100-130 days|12-22 C|350-550 mm|30x10 cm|Pusa Bold,Varuna,PM-26|12-18 q/ha
sunflower|Rabi|Well drained loam|Medium|60|90|60|downy mildew,alternaria blight,head rot|Sunflower is a photo insensitive oilseed that can be grown in all three seasons. Hand pollination in the morning improves seed setting and boron spray at flowering reduces empty seeds.|85-100 days|20-30 C|400-600 mm|60x30 cm|MSFH-17,SH-416,DRSH-1|12-18 q/ha
sesame|Kharif|Sandy loam|Low|40|20|20|phyllody,leaf spot,stem rot|Sesame known as til is an ancient oilseed that thrives in hot dry weather on light soils. The crop is very sensitive to water logging so the field must drain within a few hours of rain.|75-90 days|25-32 C|300-500 mm|30x10 cm|GT-1,T-78,Prajwal|5-8 q/ha
castor|Kharif|Red sandy loam|Low|60|40|20|wilt,grey rot,leaf spot|Castor is a non edible oilseed used for lubricants soap and medicines. It is highly drought tolerant and its long duration lets it recover from an early dry spell.|150-200 days|20-32 C|400-700 mm|90x60 cm|GAUCH-1,48-1,DCH-177|12-18 q/ha
safflower|Rabi|Black soil|Low|40|40|20|wilt,alternaria blight,rust|Safflower is a spiny rabi oilseed grown on residual moisture in black cotton soil. Its very deep root system extracts moisture from lower layers that other crops cannot reach.|120-150 days|15-25 C|400-600 mm|45x20 cm|A-1,AS-16,NARI-6|8-12 q/ha
linseed|Rabi|Clay loam|Low|40|20|20|wilt,rust,powdery mildew|Linseed is a dual purpose crop grown for oil and for fibre in the cooler parts of the country. It is often sown as a border crop or utera crop in standing paddy fields.|110-130 days|10-20 C|400-600 mm|25x5 cm|NL-97,JLS-9,Padmini|6-10 q/ha
cotton|Kharif|Black soil|Medium|100|50|50|leaf curl,wilt,boll rot,bacterial blight|Cotton is the leading fibre crop of India grown mainly in black cotton soil. Bt hybrids need wider spacing and constant monitoring for sucking pests and picking is done in three to four rounds.|150-200 days|22-35 C|500-1000 mm|90x60 cm|BT cotton,NH-44,Suvin|18-28 q/ha
sugarcane|Annual|Deep loam|High|250|115|115|red rot,smut,wilt,grassy shoot|Sugarcane is a long duration crop occupying the field for ten to eighteen months. It is a heavy feeder of nitrogen and potassium and earthing up with trash mulching conserves soil moisture.|300-540 days|24-32 C|1000-1500 mm|90 cm furrows|Co-0238,Co-86032,Co-1148|70-100 t/ha
jute|Kharif|Alluvial loam|High|60|30|30|stem rot,anthracnose,root rot|Jute is the golden fibre crop of eastern India grown in the humid alluvial plains. The harvested stems are retted in clean slow moving water for about fifteen days before the fibre is extracted.|100-120 days|25-35 C|1200-1800 mm|30x5 cm|JRO-204,JRC-212,OL-1|22-28 q/ha
tobacco|Rabi|Sandy loam|Medium|100|50|100|black shank,mosaic,frog eye leaf spot|Tobacco is a commercial leaf crop that demands very careful curing after harvest. Topping the flower head forces the plant to put its energy into the leaves and improves leaf quality.|100-130 days|18-28 C|600-900 mm|90x60 cm|FCV,DT-7,HDBRG|12-18 q/ha
tomato|Rabi|Sandy loam|Medium|100|60|60|early blight,late blight,leaf curl,damping off|Tomato is a warm season vegetable grown throughout the year under protected conditions. Staking keeps the fruit clean and calcium deficiency causes blossom end rot at the bottom of the fruit.|90-120 days|18-28 C|600-900 mm|60x45 cm|Arka Vikas,Pusa Ruby,Ruchi Hybrid|25-40 t/ha
potato|Rabi|Sandy loam|Medium|180|80|100|late blight,early blight,black scurf|Potato is a tuber crop that prefers cool weather and loose friable soil. Earthing up at thirty days prevents greening of the tubers and haulm cutting is done fifteen days before harvest.|75-100 days|15-22 C|500-700 mm|60x20 cm|Kufri Jyoti,Kufri Pukhraj,Kufri Bahar|25-35 t/ha
onion|Rabi|Sandy loam|Medium|100|50|80|purple blotch,downy mildew,basal rot|Onion is a bulb crop needing well drained soil rich in organic matter. Sulphur application improves pungency and storage life and irrigation is stopped when the necks start falling.|100-140 days|15-25 C|600-800 mm|15x10 cm|Agrifound Dark Red,Nasik Red,Pusa Red|25-30 t/ha
garlic|Rabi|Sandy loam|Medium|100|50|50|purple blotch,basal rot,downy mildew|Garlic is a bulb spice crop planted from individual cloves in October and November. It needs a cool period during bulb development and a dry period at maturity for good storage.|120-150 days|12-20 C|500-700 mm|15x10 cm|Godavari,Agrifound White,Yamuna Safed|6-8 t/ha
brinjal|Kharif|Sandy loam|Medium|100|50|50|bacterial wilt,phomopsis blight,little leaf|Brinjal known as eggplant is a hardy vegetable that yields over a long picking period. The shoot and fruit borer is its most serious pest and infested shoots must be clipped and destroyed.|120-150 days|20-30 C|700-1000 mm|60x45 cm|Arka Keshav,Pusa Purple Long,Pusa Purple Cluster|30-40 t/ha
okra|Kharif|Sandy loam|Medium|100|50|50|yellow vein mosaic,powdery mildew,fusarium wilt|Okra known as lady finger is a warm season vegetable harvested as tender green pods. Pods must be picked every second day because they turn fibrous and unmarketable very quickly.|90-110 days|22-35 C|600-900 mm|45x30 cm|Arka Anamika,Pusa Sawani,Parbhani Kranti|8-12 t/ha
cabbage|Rabi|Loamy|Medium|120|60|60|black rot,downy mildew,club root|Cabbage is a cool season vegetable that forms a compact head of overlapping leaves. Boron deficiency causes hollow stem and the diamondback moth is its most damaging pest.|90-110 days|15-22 C|600-800 mm|45x45 cm|Pusa Mukta,Golden Acre,Pusa Ageti|25-35 t/ha
