# The documents the search runs over.
# Format:  id | title | body
# Rabin-Karp counts term hits in the body, KMP then locates the term for the snippet.

A01|Rice cultivation in the kharif season|Rice is grown in puddled fields with a thin layer of water kept during the vegetative stage. Seedlings are raised in a nursery and transplanted after about twenty five days. Blast and bacterial leaf blight are the two diseases to watch for, and both spread faster when nitrogen is overused.
A02|Wheat sowing and irrigation schedule|Wheat is a rabi crop sown from the middle of November. The crown root stage and the flowering stage are the two irrigations that matter most. Powdery mildew shows up as white powder on the leaves when the weather stays cool and damp.
A03|Managing late blight in potato and tomato|Late blight moves quickly in cloudy humid weather. Black lesions appear on the leaves and stems, and a white powder of fungus grows on the underside. Spray metalaxyl with mancozeb early, and never leave infected tubers in the field after harvest.
A04|Reading the NPK numbers on a fertilizer bag|The three numbers on a bag give the percentage of nitrogen, phosphorus and potassium. Urea is 46-0-0, so a bag of urea is almost pure nitrogen. Comparing cost against these numbers tells you what you are really paying for.
A05|Tomato from nursery to harvest|Tomato seedlings are transplanted at about twenty five days. Staking keeps the fruit off the soil and cuts down rotting. Early blight and leaf curl virus are the usual problems, and the virus is carried by whitefly rather than by wind or water.
A06|Cotton crop care and the leaf curl complex|Cotton needs a long warm season and deep soil. Leaf curl shows as upward curling with thickened veins and stunted growth. The whitefly that carries it must be controlled early, because once the plant is infected there is no cure.
A07|Onion storage and field problems|Onion bulbs store well only if the neck is dried properly before storage. In the field, downy mildew and powdery mildew both cause yellowing and dry leaf tips. Good drainage matters more than any spray.
A08|Maize spacing and nutrient dose|Maize is spaced at sixty by twenty centimetres for a good stand. Nitrogen is applied in three splits rather than all at sowing. Downy mildew appears as pale yellow leaves in young plants and spreads from infected seed.
A09|Soil testing and the soil health card|A soil test tells you the pH, the organic carbon and the available nitrogen, phosphorus and potassium. Applying fertilizer without a test is guesswork and usually costs more than it returns. Test once every two or three years for the same field.
A10|Groundnut cultivation on light soil|Groundnut does best on well drained sandy loam where the pegs can enter the soil easily. Gypsum at the pegging stage improves pod filling. Yellowing between the veins usually points to an iron shortage rather than a disease.
A11|Why crop rotation still matters|Growing the same crop season after season builds up the diseases that attack it. Rotating rice with a pulse breaks the cycle and puts nitrogen back into the soil. Rotation also spreads the labour and the risk across the year.
A12|Water saving in paddy fields|Alternate wetting and drying keeps a paddy field productive on far less water. The field is allowed to dry until hairline cracks appear, then flooded again. Yields hold up and the pumping cost drops noticeably.
