# FarmAssist pest database
# Format: name | affectedCrops | damage | control
# damage is written with the same symptom keywords as diseases.csv, so a farmer
# describing what they see can be matched to the pest that caused it.
stem borer|rice,maize,sugarcane|dead heart,drying of central shoot,white ear heads,borer holes in stem|Remove and destroy infested tillers. Flood the field for two days. Use carbofuran granules in the nursery and spray chlorantraniliprole at early infestation.
brown plant hopper|rice|hopper burn,yellowing of plants,drying in circular patches,honey dew on leaves|Drain the field and spray imidacloprid or buprofezin. Conserve natural enemies like mirid bugs.
gall midge|rice|silver shoot,no ear head,dead heart like damage|Spray chlorantraniliprole at tillering. Grow resistant varieties and avoid continuous water stagnation.
rice hispa|rice|white streaks on leaves,leaf skeletonization,defoliation|Spray phosphamidon or carbaryl and destroy the adults by hand netting in the nursery.
rice leaf folder|rice|leaves folded,white streaks on leaf,leaf skeletonization|Spray chlorantraniliprole and avoid excess nitrogen. Conserve egg parasitoids.
rice bug|rice|milky grains sucked,empty grains,chaffy grains|Spray malathion at the milky stage. Avoid late sowing and destroy weed hosts.
leaf hopper|rice,maize|yellowing of leaves,hopper burn,drying of leaf tips|Spray imidacloprid and maintain optimum plant spacing.
pink bollworm|cotton|damaged bolls,rosette flowers,rotting of bolls,discoloured lint|Grow Bt hybrids, use pheromone traps and spray emamectin benzoate at square formation. Destroy the trash after harvest.
american bollworm|cotton,tomato,chickpea|bore holes in bolls and fruit,excreta near entry hole,damaged squares|Spray neem seed kernel extract early and emamectin benzoate when the pest crosses the threshold. Use pheromone traps.
spotted bollworm|cotton|damaged shoots,drying of terminals,damaged squares and bolls|Clip and destroy damaged shoots. Spray cypermethrin at peak activity.
jassid|cotton,okra|yellowing of leaf margins,curling of leaves,hoppers on lower leaf|Spray imidacloprid or dimethoate and avoid excess nitrogen.
whitefly|cotton,okra,chilli,brinjal,tomato|yellowing of leaves,sticky honey dew,sooty mould,leaf curling|Spray imidacloprid or acetamiprid. Remove weed hosts and use yellow sticky traps.
thrips|chilli,onion,garlic,tea,cotton|silvery streaks on leaves,leaf curling,stunted growth,scars on fruit|Spray spinosad or fipronil and keep the crop well irrigated. Remove alternate weed hosts.
shoot and fruit borer|brinjal|bore holes in shoots and fruit,drooping shoots,excreta in fruit|Clip and destroy infested shoots weekly. Use pheromone traps and spray chlorantraniliprole.
fruit fly|guava,mango,pumpkin,cucumber,bottle gourd,bitter gourd,watermelon,chilli|maggots inside fruit,fruit rotting,egg punctures on fruit,oozing sticky juice|Use cue lure traps and bait sprays. Collect and destroy fallen infested fruit.
diamondback moth|cabbage,cauliflower,capsicum|small holes in leaves,chewed leaves,green caterpillars on leaf,frass on leaves|Spray spinosad or Bt. Use pheromone traps and avoid continuous cabbage cultivation.
aphid|mustard,peas,brinjal,chilli,okra,papaya,cotton|curling of leaves,sticky honey dew,sooty mould,reduced growth|Spray imidacloprid or dimethoate. Conserve lady bird beetles.
pod borer|chickpea,pigeonpea,green gram,black gram,peas|caterpillar inside pod,round holes in pod,damaged seeds,excreta in pod|Spray indoxacarb at pod formation. Use pheromone traps and set bird perches.
gram pod borer|chickpea,peas|larvae feeding on leaves and pods,round holes in pods,damaged seeds|Spray indoxacarb at flowering. Use pheromone traps and early sowing.
eriophyid mite|pigeonpea|bushy pale plant,small leaves,no flowering,sterility mosaic spread|Spray wettable sulphur and remove infected plants early.
red spider mite|tea,chilli,tomato,capsicum,brinjal|white stippling on leaves,webbing on leaf,leaf bronzing,leaf fall|Spray dicofol or hexythiazox and maintain humidity. Conserve predatory mites.
tea mosquito bug|cashew|brown spots on tender shoots,drying of shoots,damaged flower panicle,dropping of young nuts|Spray at flushing and flowering with quinalphos. Remove and destroy damaged shoots.
mango hopper|mango|sucking of flower sap,drying of inflorescence,sticky honey dew,sooty mould|Spray imidacloprid at panicle emergence. Keep the orchard clean and prune dense canopies.
mango mealybug|mango|sucking of sap from shoots,stunted growth,sooty mould,leaf fall|Band the trunk with polythene. Spray fish oil rosin soap and release lady bird beetles.
