# FarmAssist article corpus - these are the documents that are searched
# Format: id | title | body
A01|Rice cultivation practices for the kharif season|Rice is grown in puddled fields where a thin layer of water is maintained during the vegetative stage. Seedlings are raised in a nursery and transplanted after twenty five days at a spacing of twenty by fifteen centimetres. Nitrogen is applied in three splits as basal at tillering and at panicle initiation. Blast and bacterial leaf blight are the two most damaging diseases of rice and both spread faster when nitrogen is applied in excess. Draining the field for two days reduces bacterial leaf blight.
A02|Wheat sowing time irrigation and fertilizer schedule|Wheat is sown from the first week of November to the middle of December. The crown root irrigation given twenty one days after sowing is the most critical irrigation of the whole season. A full dose of phosphorus through dap is applied as basal and nitrogen through urea is split into two halves. Rust appears as orange pustules on the leaf and needs an immediate spray of propiconazole. Late sown wheat suffers from terminal heat stress at grain filling.
A03|Managing late blight in potato and tomato|Late blight is a fungal disease that spreads very fast in cloudy humid weather with temperature near twenty degrees. Water soaked lesions appear on the leaf and turn black within two days and a white fungal growth is seen on the lower surface. Spraying metalaxyl with mancozeb at the first symptom protects the crop. Infected plants must be removed and destroyed and the tubers must not be stored with healthy ones. Wide spacing and drip irrigation reduce leaf wetness and slow the disease.
A04|Fertilizer selection under a limited budget|A small farmer rarely has enough money to buy every fertilizer that the soil test recommends. The correct approach is to first buy the nutrient that limits the yield the most which is usually nitrogen followed by phosphorus and then potassium. Cheap organic sources like farmyard manure and vermicompost improve the soil and cost much less per bag. Buying one bag of dap and one bag of urea often gives a better return than buying three bags of a low analysis mixture. Always compare the cost per kilogram of nutrient and not the cost per bag.
A05|Understanding npk values printed on a fertilizer bag|Every fertilizer bag carries three numbers that show the percentage of nitrogen phosphorus and potassium in that order. Urea carries forty six percent nitrogen which makes it the cheapest source of nitrogen in India. Dap carries eighteen percent nitrogen and forty six percent phosphorus. Muriate of potash carries sixty percent potassium and is important for fruit crops like banana. A complex like ten twenty six twenty six supplies all three nutrients in one application.
A06|Cotton crop care and control of the leaf curl complex|Cotton is planted in black soil with the onset of the monsoon and needs regular monitoring for sucking pests. Leaf curl shows upward curling of leaves with thickened veins and badly stunted growth and it is spread by the whitefly. Yellow sticky traps and neem oil sprays reduce the whitefly population in the early stage. Imidacloprid is used when the pest crosses the economic threshold. Removing infected plants early stops the virus from spreading to the whole field.
A07|Organic farming methods for vegetable growers|Organic farming replaces chemical fertilizer with farmyard manure vermicompost and green manure crops like sunhemp. Neem cake applied in the soil supplies nutrients and also reduces nematode damage. Pest control depends on neem seed extract cow urine sprays and pheromone traps. Yields are slightly lower in the first two years but the soil structure and water holding capacity improve steadily. Certified organic vegetables sell at a much higher price in city markets.
A08|Drip irrigation and fertigation for higher water use efficiency|Drip irrigation delivers water directly to the root zone through emitters and saves about forty percent water compared to flood irrigation. Fertigation means dissolving water soluble fertilizer in the drip water so that nutrients reach the root along with the water. Banana tomato and sugarcane respond very well to fertigation and give higher yields. The filter must be cleaned every week to stop the emitters from clogging. Government subsidy is available for drip installation in most states.
A09|Soil testing and how to read the soil health card|Soil samples are collected from fifteen centimetre depth at several points of the field and mixed into one composite sample. The laboratory reports the pH the organic carbon and the available nitrogen phosphorus and potassium. A pH above eight point five shows an alkaline soil that needs gypsum. Low organic carbon below zero point five percent means the soil needs heavy addition of farmyard manure. The soil health card converts these values into a fertilizer recommendation for each crop.
A10|Integrated pest management in field crops|Integrated pest management combines cultural biological and chemical methods so that pesticide use comes down. Deep summer ploughing exposes the resting stages of insects to the sun. Pheromone traps monitor the pest population and tell the farmer the right time to spray. Natural enemies like trichogramma and lady bird beetle control the eggs and the aphids. Chemical spray is used only after the pest crosses the economic threshold level.
A11|Growing tomato from nursery to harvest|Tomato seed is sown in raised nursery beds and the seedlings are transplanted after twenty five days. Staking with bamboo keeps the fruit off the ground and reduces fruit rot. Early blight shows concentric rings on the older leaves and needs a mancozeb spray. Calcium deficiency causes blossom end rot which appears as a sunken black patch at the bottom of the fruit. Regular harvesting at the breaker stage gives the best market price.
A12|Onion cultivation storage and curing|Onion needs a well drained sandy loam soil that is rich in organic matter. Sulphur through gypsum improves the pungency and the storage life of the bulb. Purple blotch shows purple lesions on the leaves and is controlled by mancozeb sprays with a sticker. Irrigation is stopped when half the necks fall down in the field. Curing the bulbs in shade for ten days before storage reduces rotting.
A13|Sugarcane planting ratooning and red rot management|Sugarcane setts with three buds are planted in furrows and covered lightly with soil. The crop is a heavy feeder and needs two hundred fifty kilograms of nitrogen per hectare. Red rot shows red discolouration inside the stem with an alcoholic smell and drying of leaves. Only healthy setts treated with carbendazim should be planted and infected clumps must be burnt. A well managed ratoon crop saves the cost of planting material.
A14|Banana nutrition and bunch management|Banana removes very large quantities of potassium from the soil and needs about three hundred kilograms of potash per hectare. Fertigation through drip in small weekly doses gives much better results than heavy soil application. Panama wilt shows yellowing of lower leaves and splitting of the pseudostem and has no cure after infection. Only tissue culture plants from a certified nursery should be used. Propping the plant with bamboo prevents the bunch from breaking the stem.
A15|Groundnut cultivation and the role of gypsum|Groundnut is a legume that fixes nitrogen so it needs only a small starter dose of nitrogen. Gypsum applied at the pegging stage supplies calcium and improves the pod filling greatly. Tikka leaf spot appears as dark brown circular spots followed by premature leaf fall. The soil must stay loose so that the pegs can enter and form pods. Harvesting is done when the inner shell shows dark veins.
A16|Crop rotation and its effect on soil health|Crop rotation means growing different crops in the same field in a planned sequence across seasons. A cereal followed by a legume restores the nitrogen that the cereal removed from the soil. Rotation breaks the life cycle of soil borne diseases like wilt and reduces the weed problem. Continuous rice after rice creates a hard pan and lowers the organic carbon of the soil. A three year rotation plan is recommended for every field.
A17|Planning the crop calendar around the monsoon|The kharif season starts with the onset of the south west monsoon in June and ends in October. The rabi season depends on the residual soil moisture and on irrigation from November to March. Short duration varieties are chosen when the monsoon arrives late so that the crop still finishes in time. Contingency plans suggest pulses and oilseeds when rainfall is below normal. Weather based advisories from the agriculture department help in fixing the sowing date.
A18|Vermicompost preparation at the farm level|Vermicompost is prepared by feeding partially decomposed farm waste to earthworms in shallow beds under shade. The bed is kept at sixty percent moisture and is never allowed to dry completely. Compost is ready in about sixty days when it turns dark granular and free of smell. It supplies nitrogen phosphorus potassium and beneficial microbes to the soil. Two tonnes per acre is enough for most vegetable crops.
A19|Mango orchard management and anthracnose control|Mango flowers in December and January and needs dry weather during the flowering period. Anthracnose shows sunken dark spots on the fruit with twig dieback and heavy fruit rot in humid weather. Carbendazim sprays before flowering and after fruit set protect the crop. Powdery mildew shows white powdery patches on the flower stalk and is controlled by wettable sulphur. Pruning after harvest keeps the canopy open and improves light penetration.
A20|Chilli crop protection against thrips mites and anthracnose|Chilli suffers from a leaf curl complex caused together by thrips and mites which gives upward curling of leaves and stunted growth. Anthracnose causes sunken dark spots on the ripening fruit and heavy fruit rot at harvest. Seed treatment and clean nursery practice prevent damping off in the early stage. Neem based sprays in the early crop stage keep the sucking pest population low. Picking the fruit regularly reduces the disease carry over in the field.
A21|Why pulses fix nitrogen and improve the soil|Pulse crops carry root nodules in which rhizobium bacteria convert nitrogen from the air into a form the plant can use. A good pulse crop leaves twenty to forty kilograms of nitrogen per hectare in the soil for the next crop. This is why a cereal after a pulse always needs less urea and still gives a better yield. Seed treatment with rhizobium culture costs very little and increases nodulation greatly. The nodules must be pink inside which shows that they are actively fixing nitrogen.
A22|Millets as climate resilient crops for dry regions|Millets like sorghum pearl millet and finger millet survive on very little rainfall and poor soil. Pearl millet is the most drought tolerant cereal of India and matures in only seventy five to ninety days. Finger millet grain is rich in calcium and iron and stores for years without insect damage. Millets need far less water than rice and are the safest choice when the monsoon is weak. Government procurement and rising health demand have improved millet prices in recent years.
A23|Dryland farming techniques for low rainfall areas|Dryland farming depends entirely on rainfall so every drop must be conserved in the soil. Deep summer ploughing opens the soil to absorb the first heavy rains instead of losing them as runoff. Contour bunding across the slope stops soil erosion and holds water in the field. Wider spacing and lower plant population reduce the demand on the limited soil moisture. Intercropping a cereal with a pulse insures the farmer against total failure of one crop.
A24|Chickpea cultivation on residual soil moisture|Chickpea is sown in October and November into soil that still holds moisture from the monsoon. It needs very little irrigation and one light watering at pod formation is often enough. Wilt is the main disease and shows sudden drooping with browning inside the stem. Sowing resistant varieties and rotating with a cereal reduce wilt greatly. Nipping the growing tips at thirty days encourages more branches and more pods.
A25|Pigeonpea a long duration pulse for the kharif season|Pigeonpea known as tur or arhar occupies the field for six to nine months and has a very deep tap root. It is commonly intercropped with sorghum cotton or groundnut in a two to one row ratio. Sterility mosaic makes the plant bushy and pale with no flowering and is spread by the eriophyid mite. Pod borer is the main insect pest and needs monitoring from the flowering stage onward. The deep roots break the hard pan and improve the soil for the following crop.
A26|Green gram and black gram as short duration catch crops|Green gram matures in only sixty to seventy days which lets it fit between two main season crops. Yellow mosaic spread by the whitefly is the most serious problem and shows yellow patches with puckered leaves. Growing resistant varieties and sowing within the recommended window reduce the damage sharply. Both crops fix nitrogen and can be ploughed in as green manure if the price is poor. Harvest is done in two or three pickings as the pods mature unevenly.
A27|Mustard cultivation and the importance of sulphur|Mustard is sown in October and grows through the cool dry rabi season with only two or three irrigations. Sulphur is the key nutrient for oilseeds and raises the oil content of the seed noticeably. White rust shows white pustules on the lower leaf surface and swollen deformed flower stalks. Aphids attack at flowering and can be controlled with a single well timed spray. Harvest when the pods turn yellow but before they shatter and drop the seed.
A28|Sesame cultivation in light soils|Sesame known as til is a hot weather oilseed that thrives on light sandy soil with very little water. The crop is extremely sensitive to water logging and even a few hours of standing water damages it. Phyllody turns the flowers into small green leaves and stops all seed set completely. Removing infected plants and controlling the leafhopper vector keep phyllody in check. Harvest as soon as the lower capsules turn yellow because the capsules shatter easily.
A29|Castor and safflower for marginal dryland farms|Castor is a non edible oilseed used for lubricants soaps and medicines and tolerates severe drought. Safflower carries spines that protect it from grazing animals and its very deep roots reach moisture other crops cannot. Both crops grow on residual moisture in black cotton soil with almost no irrigation. Wilt is the main disease of both and is managed by long crop rotation and resistant varieties. These crops give a dependable income where rainfall is too low for cotton or soybean.
A30|Sunflower cultivation and improving seed setting|Sunflower is photo insensitive so it can be grown in kharif rabi and summer seasons alike. Poor seed setting with empty seeds in the centre of the head is the most common complaint. Hand pollination by rubbing the heads gently in the morning improves seed set greatly. A boron spray at the ring stage also reduces the number of empty seeds. Alternaria blight shows dark concentric spots and needs a mancozeb spray at first appearance.
A31|Jute cultivation and the retting of fibre|Jute is the golden fibre crop of the humid alluvial plains of eastern India. The crop is harvested at the small pod stage when fibre strength and yield are best balanced. Retting is done by submerging bundled stems in clean slow moving water for about fifteen days. Muddy or stagnant water spoils the colour of the fibre and lowers the price badly. After retting the fibre is stripped washed and dried in the sun before grading.
A32|Brinjal cultivation and shoot and fruit borer control|Brinjal yields over a long picking period which makes pest management a continuous job. The shoot and fruit borer is the most serious pest and its larva bores inside shoots and fruit. Clipping and destroying the drooping infested shoots every week reduces the pest population sharply. Pheromone traps at the rate of five per acre help monitor the moth activity. Bacterial wilt causes sudden wilting without yellowing and needs rotation with a cereal crop.
A33|Okra cultivation and yellow vein mosaic management|Okra known as lady finger is harvested as tender green pods every second day. Delayed picking makes the pods fibrous and completely unmarketable within a day or two. Yellow vein mosaic shows a bright yellow network of veins with small hard deformed fruit. The disease is spread by the whitefly so early vector control and resistant varieties are essential. Removing infected plants as soon as symptoms appear stops further spread in the field.
A34|Cabbage and cauliflower cultivation in the cool season|Cabbage and cauliflower are cool season vegetables raised in a nursery and transplanted after four weeks. Cauliflower curd must be protected from sun by tying the outer leaves over it which keeps it white. Boron deficiency causes hollow stem in cabbage and molybdenum deficiency causes whiptail in cauliflower. Black rot shows V shaped yellow patches at the leaf margin with blackened veins. The diamondback moth is the main pest and is best managed with neem and bacterial sprays.
A35|Growing carrot radish and other root vegetables|Root vegetables need deep loose stone free soil so that the roots grow straight and smooth. Fresh undecomposed manure must never be applied because it causes forked and hairy roots. Carrot is a cool season crop while radish is very quick and ready in thirty to forty five days. Delayed harvest makes radish pithy and sharply hot in taste so timely pulling is essential. Thinning the seedlings early gives each root the space it needs to size up properly.
A36|Cucurbit vegetables on trellis systems|Cucumber bottle gourd bitter gourd and pumpkin all belong to the cucurbit family. Training the vines on a trellis or pandal keeps the fruit clean and greatly reduces fruit rot. Downy mildew shows yellow patches on the upper leaf with white growth underneath in humid weather. The fruit fly lays eggs inside young fruit and is trapped with cue lure or with simple bait traps. Steady soil moisture prevents bitter fruit in cucumber and improves the shape of all cucurbits.
A37|Leafy vegetables for quick income|Spinach fenugreek and coriander leaves give a cutting within thirty to forty days of sowing. Several cuttings can be taken from a single sowing if light irrigation is given after each cut. These crops suit small plots near the house and give a quick regular cash income. Nitrogen through a light urea top dressing after each cutting keeps the leaves tender and green. Leaf spot and downy mildew appear in humid weather and are managed by wider beds and good drainage.
A38|Garlic cultivation and bulb development|Garlic is planted from individual cloves in October and November at a shallow depth. Big healthy cloves from the outer ring of the bulb give the largest bulbs at harvest. The crop needs a cool period during bulb development and dry weather at maturity. Purple blotch and basal rot are the main diseases and both respond to seed treatment and drainage. Curing the harvested bulbs in shade for two weeks greatly improves storage life.
A39|Ginger cultivation on raised beds|Ginger is planted on raised beds in April and May and takes about eight months to mature. Heavy mulching with green leaves conserves moisture suppresses weeds and adds organic matter. Sharp drainage is critical because even short water logging causes rhizome rot with foul smelling soft rhizomes. Partial shade from a border crop protects the leaves from scorching in the hot months. Seed rhizomes are treated with mancozeb before planting to prevent early rot.
